Credit_Score,City,Gender,Age,Customer_Since,Current_Account_Balance,Num_of_products,UPI_Enabled,Estimated_Yearly_Income,Customer_Status,Age_Group
553,Delhi,Female,45,4,0.0,4,Yes,274150,Retained,Mid
447,Bengaluru,Male,31,7,0.0,4,Yes,519360,Retained,Mid
501,Delhi,Female,32,2,0.0,4,Yes,545501,Retained,Mid
428,Delhi,Male,51,3,0.0,4,Yes,86868,Retained,Old
492,Delhi,Female,57,6,1912681.501,2,Yes,518680,Retained,Old
649,Mumbai,Male,61,4,1739005.126,2,Yes,86816,Churned,Old
624,Mumbai,Male,54,6,1741981.923,4,Yes,72959,Churned,Old
510,Bengaluru,Male,74,8,0.0,4,Yes,295115,Retained,Old
573,Mumbai,Male,45,8,1245561.866,4,Yes,471174,Churned,Mid
517,Delhi,Female,62,6,2210750.266,4,No,149488,Churned,Old
562,Bengaluru,Female,65,3,0.0,2,Yes,481784,Churned,Old
670,Bengaluru,Female,42,4,2308652.503,2,Yes,475408,Retained,Mid
443,Mumbai,Female,57,4,1288184.169,2,No,273771,Churned,Old
484,Bengaluru,Female,56,8,0.0,2,Yes,201349,Churned,Old
521,Mumbai,Male,56,4,1331842.505,4,Yes,427076,Retained,Old
423,Bengaluru,Male,45,5,1965149.015,2,No,285269,Retained,Mid
590,Delhi,Male,41,4,1503298.732,2,No,359396,Churned,Mid
514,Delhi,Female,31,3,0.0,4,Yes,542388,Retained,Mid
601,Bengaluru,Female,42,6,1283655.127,2,No,221609,Retained,Mid
427,Bengaluru,Female,53,8,1504102.953,4,No,224988,Retained,Old
448,Delhi,Female,64,4,0.0,4,Yes,421709,Retained,Old
445,Mumbai,Male,32,8,791983.0049,2,Yes,211179,Retained,Mid
422,Bengaluru,Male,20,1,1977181.973,4,Yes,533905,Retained,Young
504,Bengaluru,Male,70,0,0.0,5,No,166612,Churned,Old
445,Bengaluru,Female,32,5,0.0,4,Yes,50610,Retained,Mid
533,Mumbai,Male,41,8,1566158.59,2,Yes,25157,Retained,Mid
442,Bengaluru,Male,35,6,1993485.647,2,Yes,308977,Retained,Mid
342,Mumbai,Male,34,1,1338249.49,4,Yes,27138,Retained,Mid
527,Mumbai,Male,39,3,2338926.609,4,Yes,405306,Retained,Mid
606,Bengaluru,Female,39,8,1090197.284,4,Yes,442538,Retained,Mid
631,Bengaluru,Female,32,4,0.0,4,Yes,135178,Retained,Mid
567,Mumbai,Female,51,7,1259046.095,2,Yes,183277,Churned,Old
554,Delhi,Female,32,2,1668091.781,2,Yes,494797,Retained,Mid
505,Delhi,Male,77,2,0.0,4,Yes,469510,Retained,Old
593,Delhi,Male,50,6,0.0,4,Yes,159646,Churned,Mid
566,Bengaluru,Female,30,4,2451438.911,2,Yes,319113,Retained,Young
496,Mumbai,Female,41,6,1453067.581,2,No,116666,Retained,Mid
493,Bengaluru,Female,41,1,2142538.249,2,Yes,527111,Churned,Mid
